x1  x2	x3	x4	x5	x6	x7	x8	y
T	T	T	F	T	F	T	T	A
T	F	F	F	T	T	F	F	B
F	F	T	F	T	T	T	T	B
T	F	F	T	T	F	F	F	A
T	T	F	F	F	T	F	F	B
F	T	T	F	T	F	T	F	B
F	T	F	T	F	F	T	T	B
F	T	F	T	T	F	F	F	B
T	F	T	F	T	T	F	T	B
F	T	F	F	T	F	T	T	A
F	T	T	T	T	F	F	F	A
F	F	F	T	T	F	F	T	A
T	F	T	T	F	F	T	T	A
F	T	F	F	F	T	T	F	A
T	T	F	F	F	T	F	T	A
F	F	F	F	F	T	F	T	A
T	T	F	F	F	F	F	F	B
T	F	T	F	F	F	F	F	B
T	F	T	F	F	T	F	T	A
F	T	T	T	F	F	T	F	B
T	T	F	F	F	T	F	F	A
T	F	T	F	T	F	T	F	B
T	F	F	T	F	F	F	T	A
T	F	F	F	F	F	F	F	A
T	F	T	T	F	T	F	F	B
F	F	T	T	T	T	T	F	B
T	F	F	F	F	T	F	T	A
F	F	F	T	F	T	T	F	B
F	F	F	T	T	F	F	T	B
T	F	T	T	F	F	T	F	B
T	F	T	F	T	T	T	F	A
T	F	T	F	T	T	T	T	B
T	F	F	F	F	T	T	T	A
T	T	F	T	F	F	F	T	B
F	F	F	F	F	F	F	F	B
T	F	T	T	T	F	F	T	A
F	F	T	F	T	F	T	F	A
F	F	F	F	T	F	F	T	A
T	T	T	T	F	F	F	F	B
T	T	F	T	T	F	F	T	A
T	T	T	F	F	F	T	T	B
T	T	F	T	T	F	T	F	B
F	F	F	T	T	F	T	T	A
F	T	T	T	T	T	T	F	B
T	F	T	T	F	T	F	F	A
T	T	F	T	F	T	F	T	A
T	F	F	F	T	T	T	T	A
F	F	T	F	F	T	F	F	A
T	F	F	T	T	T	F	T	A
F	T	T	F	F	F	T	F	B
T	F	T	T	F	F	F	F	A
T	T	F	T	T	T	T	F	A
F	F	T	T	T	F	T	F	B
T	T	F	F	T	F	T	F	B
F	T	F	F	F	F	F	T	B
T	T	T	T	F	F	F	F	B
T	F	T	F	F	T	T	T	B
F	F	F	F	T	T	F	T	A
F	T	F	T	F	T	F	T	A
F	T	F	F	F	F	F	F	A
T	T	F	T	F	F	F	F	B
T	T	T	F	T	T	F	T	B
F	F	F	T	T	T	T	F	A
F	F	T	F	F	F	T	T	A
F	F	F	T	F	T	T	F	B
T	F	T	T	F	F	T	F	B
T	F	F	T	F	T	T	T	A
T	F	T	T	F	F	T	T	B
T	F	T	T	T	F	F	T	A
F	F	T	F	F	F	T	F	B
T	T	T	T	F	F	T	T	B
T	T	T	T	F	F	T	F	A
T	T	F	T	F	T	F	T	A
T	T	T	F	F	T	F	T	A
T	T	F	T	T	F	F	T	B
F	T	F	T	T	T	F	F	B
F	T	F	F	F	T	T	F	A
F	T	F	T	F	F	T	F	B
T	T	F	T	F	F	F	T	B
T	T	T	F	F	T	F	T	A
F	T	T	T	T	F	F	T	B
T	T	F	T	T	T	F	T	A
T	T	F	F	T	F	F	F	B
T	F	F	T	T	F	F	F	B
F	F	F	F	F	T	F	T	A
T	F	F	T	T	T	F	T	A
T	T	T	T	F	T	T	F	B
T	T	T	F	T	F	T	T	A
F	F	T	F	T	F	T	F	B
F	F	F	T	T	T	T	F	B
T	T	T	T	F	T	F	F	B
F	T	T	T	T	F	F	F	B
T	F	T	T	F	T	F	F	B
F	F	T	F	F	F	T	F	B
F	F	F	T	T	F	T	T	B
F	T	F	T	T	T	T	T	A
F	T	T	T	F	F	T	T	B
F	F	T	F	F	F	T	T	A
F	T	F	T	F	T	F	F	A
T	T	F	T	F	T	F	T	A
T	T	T	F	T	T	F	F	B
T	T	F	F	T	T	T	F	A
F	T	T	T	T	F	T	F	B
F	T	T	F	T	F	T	T	A
F	F	F	F	T	T	F	T	B
F	F	T	F	F	F	F	T	A
T	F	T	T	T	T	F	F	B
T	F	F	T	F	F	F	T	A
T	F	T	F	F	T	F	T	A
F	F	F	F	F	F	T	F	B
T	F	F	T	T	F	T	T	A
F	T	F	T	T	F	F	F	A
F	F	T	F	T	T	F	T	B
T	F	F	T	F	T	F	T	A
T	F	F	T	T	F	F	T	B
F	T	F	F	T	T	T	F	B
T	F	T	F	F	T	T	T	A
F	T	T	F	T	T	T	T	B
F	T	F	T	T	T	T	T	A
T	T	T	F	T	F	F	T	B
T	F	T	T	F	T	F	F	B
T	F	F	T	F	F	T	T	B
F	F	T	F	F	F	T	T	A
T	T	F	T	F	T	T	F	A
F	F	T	T	F	T	F	F	B
F	F	T	T	F	F	T	F	B
T	F	T	T	T	F	T	F	A
T	T	T	T	F	F	F	F	A
T	T	T	T	F	T	F	T	A
T	F	T	T	T	T	T	F	B
F	F	F	T	F	T	T	T	A
F	F	T	F	T	F	F	T	A
T	T	F	T	F	T	T	F	A
F	F	T	T	T	F	T	T	B
T	F	F	F	F	F	F	F	A
T	T	F	F	T	F	F	T	A
F	F	T	F	F	T	F	F	B
F	T	T	F	T	T	T	T	A
T	T	T	T	T	T	T	T	B
F	F	T	F	T	F	T	T	B
T	T	F	F	F	F	T	F	B
T	F	F	T	F	T	T	T	B
F	T	F	T	F	F	F	F	A
T	F	F	F	F	F	F	T	A
T	T	T	T	F	F	T	T	B
T	T	F	T	T	T	F	T	B
F	F	F	F	F	T	T	F	B
T	T	F	F	F	F	F	T	A
T	F	F	F	T	F	F	F	B
F	F	T	T	T	F	T	F	B
F	T	T	F	T	T	F	T	B
T	T	F	F	T	T	F	T	A
T	F	F	F	T	F	F	F	B
F	F	F	T	T	T	T	F	B
T	T	F	T	F	T	T	T	B
F	T	F	F	T	F	T	F	A
T	T	T	T	T	T	F	F	B
T	T	T	T	T	F	T	F	B
F	F	F	F	T	T	T	T	B
F	T	F	T	F	F	F	F	A
T	F	T	F	T	F	T	F	A
T	F	F	T	F	T	T	F	A
T	F	T	T	F	T	T	T	B
T	F	F	F	T	T	T	F	A
T	F	F	T	T	F	T	T	A
T	T	T	T	F	T	F	T	B
T	F	F	T	F	T	T	T	B
F	T	F	T	T	T	F	T	B
F	T	F	F	T	T	T	F	B
T	T	F	T	T	T	T	F	B
T	T	T	T	T	T	T	F	B
F	T	F	T	F	F	T	T	A
F	T	T	T	T	F	T	T	B
F	T	T	T	T	F	F	F	B
F	T	F	F	T	T	F	T	B
F	F	T	F	T	T	F	F	B
F	F	T	T	F	T	T	T	B
F	T	T	T	T	F	T	T	B
F	T	T	F	T	F	F	T	B
F	T	F	F	T	F	F	T	A
T	T	T	T	F	T	F	F	A
T	T	T	T	T	F	F	F	A
T	T	T	T	T	F	T	F	B
T	T	F	F	F	T	F	F	A
T	F	F	F	F	F	F	T	A
F	T	T	F	T	T	T	T	B
F	T	T	F	F	T	F	T	B
F	T	F	F	T	F	T	T	A
F	T	T	F	F	F	F	T	B
T	T	F	T	T	T	F	F	A
F	T	F	T	F	F	F	F	B
F	T	T	T	F	F	F	F	B
T	F	T	T	F	T	F	F	A
F	T	T	F	T	T	T	F	B
F	F	T	F	T	F	T	F	A
T	F	F	T	T	T	T	T	B
T	T	F	T	F	F	F	F	A
F	F	F	T	T	T	F	T	A
F	T	F	T	T	T	T	T	B
F	F	T	F	T	T	T	F	B
